         StudyID                     H                        E                      Mean                      Ie                      Type                     Scale                  Organism
            1                     0.0006                      0                      19.62                      0                      Size                    Linear                    Bird
            2                      0.001                   0.0012                    90.7                     1.19                     Size                    Linear                    Fish
            3                     0.0011                   0.00026                   19.55                    0.238                    Size                    Linear                    Bird
            4                      0.002                    0.104                    1.35                    52.022                    Size                     Count                    Plant
            5                      0.004                    0.001                    2.598                    0.257                    Size                    Linear                   Insect
            6                      0.005                    0.01                    17.678                    2.061                    Size                  Transformed                 Plant
            7                     0.0056                    1.66                      NA                     294.769                   Size                    Weight                    Plant
            8                      0.006                    0.061                   19.638                   10.107                    Size                    Linear                    Plant
            9                      0.01                     0.121                    2.337                   12.523                    Size                    Weight                    Plant
           10                      0.01                     0.22                     7.07                    21.787                    Size                    Linear                    Plant
           11                      0.01                     0.003                     3.9                     0.275                    Size                    Weight                   Mammal
           12                      0.01                     0.006                     49                      0.583                    Size                    Weight                   Mammal
           13                      0.01                   0.000073                   58.3                    0.0073                    Size                    Weight                   Mammal
           14                      0.01                    0.00041                   58.8                     0.041                    Size                    Weight                   Mammal
           15                      0.011                     0.9                     0.18                    80.918                    Size                    Weight                    Plant
           16                      0.013                   0.0016                    13.75                    0.12                     Size                    Linear                    Bird
           17                      0.014                    0.013                    56.3                     0.907                    Size                    Linear                    Fish
           18                      0.02                    0.0021                    13.69                    0.107                    Size                    Linear                    Bird
           19                      0.02                    0.0067                    0.18                     0.329                    Size                    Linear                   Insect
           20                      0.02                    0.0018                    5.01                     0.086                    Size                    Linear                   Insect
           21                      0.02                     0.044                    82.38                    2.161                    Size                    Weight                   Insect
           22                      0.029                    0.017                    0.649                    0.566                    Size                     Area                    Insect
           23                      0.03                    0.0029                    0.02                     0.094                    Size                     Area                    Insect
           24                      0.03                     0.762                    3.24                    24.641                    Size                     Count                    Plant
           25                      0.03                    0.00069                    36                      0.022                    Size                    Linear                    Plant
           26                      0.032                    0.01                    15.876                    0.288                    Size                     Count                    Herp
           27                      0.032                      0                       27                        0                      Size                    Linear                    Plant
           28                      0.032                    0.002                    18.92                    0.059                    Size                     Count                    Herp
           29                      0.033                    0.441                    1.614                    12.92                    Size                     Count                    Plant
           30                      0.033                    0.48                     27.33                   13.978                    Size                    Linear                    Plant
           31                      0.034                    0.053                    44.34                    1.509                    Size                    Linear                    Plant
           32                      0.035                    0.245                    9.69                     6.667                    Size                    Linear                    Plant
           33                      0.038                    0.08                     0.144                    2.048                    Size                    Linear                    Plant
           34                      0.038                    0.021                    58.7                     0.541                    Size                    Linear                    Fish
           35                      0.04                     0.516                    21.67                   12.373                    Size                    Weight                   Insect
           36                      0.042                     2.6                      0.5                    59.305                    Size                    Weight                    Plant
           37                      0.044                    0.118                    7.79                     2.556                    Size                    Linear                    Plant
           38                      0.044                    0.566                     NA                     12.287                    Size                    Weight                    Plant
           39                      0.046                    0.006                   20.159                    0.127                    Size                     Count                    Herp
           40                      0.049                    0.106                     4.1                     2.063                    Size                     Count                    Plant
           41                      0.05                     0.104                     9.2                     1.97                     Size                    Linear                    Plant
           42                      0.05                     0.513                    0.116                    9.743                    Size                    Weight                   Mammal
           43                      0.052                    32.28                    2.55                    588.487                   Size                    Weight                   Insect
           44                      0.057                    0.031                    0.705                    0.506                    Size                     Area                    Insect
           45                      0.057                   0.0026                    80.8                     0.043                    Size                    Linear                    Bird
           46                      0.06                     4.845                    10.29                   75.904                    Size                     Count                    Plant
           47                      0.064                    2.67                     1.788                   39.048                    Size                    Linear                    Plant
           48                      0.065                     5.7                     1.52                    81.992                    Size                    Weight                    Plant
           49                      0.07                    0.0066                    0.82                     0.087                    Size                    Linear                   Insect
           50                      0.07                     1.871                     NA                     24.863                    Size                    Linear                   Insect
           51                      0.07                     0.125                    17.4                     1.659                    Size                    Linear                    Plant
           52                      0.07                     0.023                    19.7                     0.299                    Size                    Weight                   Mammal
           53                      0.07                     0.383                    5.36                     5.082                    Size                    Weight                    Plant
           54                      0.072                   13.734                    2.86                    177.015                   Size                    Weight                    Plant
           55                      0.073                    0.011                   15.879                    0.136                    Size                     Count                    Herp
           56                      0.073                    0.463                    5.69                     5.869                    Size                    Linear                    Plant
           57                      0.074                    0.035                    0.161                    0.429                    Size                    Linear                   Insect
           58                      0.075                     6.8                     0.29                    83.867                    Size                    Weight                    Plant
           59                      0.075                    0.48                     2.14                     5.925                    Size                    Weight                   Mammal
           60                      0.075                    0.017                    1.042                    0.213                    Size                    Linear                   Insect
           61                      0.078                    0.08                    16.066                    0.945                    Size                    Linear                    Bird
           62                      0.08                     0.043                   131.49                    0.49                     Size                    Linear                   Mammal
           63                      0.08                     0.11                      NA                      1.265                    Size                    Linear                    Plant
           64                      0.08                    0.0077                    2.86                     0.089                    Size                    Linear                   Insect
           65                      0.084                    0.034                    9.42                     0.369                    Size                    Weight                    Bird
           66                      0.086                   0.0089                    8.21                     0.095                    Size                    Linear                    Bird
           67                      0.088                    1.135                   42.752                   11.766                    Size                    Weight                   Insect
           68                      0.09                     0.12                      NA                      1.213                    Size                    Linear                    Plant
           69                      0.09                     0.026                   20.021                    0.267                    Size                    Linear                    Bird
           70                      0.094                   33.025                    0.52                    318.306                   Size                    Linear                    Plant
           71                      0.094                    0.117                    129.3                    1.124                    Size                    Linear                    Fish
